N,P,K,label
17,77,24,beans
0,65,15,beans
13,72,21,beans
34,60,23,beans
9,80,19,beans
11,72,20,beans
3,67,24,beans
35,69,23,beans
3,77,25,beans
23,62,19,beans
22,71,17,beans
7,16,9,orange
20,7,9,orange
26,27,10,orange
5,23,15,orange
0,18,14,orange
39,24,14,orange
13,23,6,orange
21,17,15,orange
33,12,8,orange
6,9,12,orange
19,7,10,orange
24,18,6,orange
9,11,8,orange
31,8,7,orange
22,17,5,orange
13,5,8,orange
16,8,9,orange
4,13,6,orange
0,25,14,orange
8,7,10,orange
4,23,5,orange
33,14,8,orange
26,54,17,cowpeas
21,51,15,cowpeas
22,54,20,cowpeas
29,45,16,cowpeas
4,40,21,cowpeas
10,37,22,cowpeas
4,44,19,cowpeas
20,45,17,cowpeas
23,45,23,cowpeas
25,48,21,cowpeas
91,94,46,banana
105,95,50,banana
108,92,53,banana
86,76,54,banana
80,77,49,banana
93,94,53,banana
90,92,55,banana
108,89,53,banana
108,88,55,banana
105,77,52,banana
118,88,52,banana
101,87,54,banana
95,75,50,banana
106,85,53,banana
86,95,49,banana
83,79,55,banana
85,95,47,banana
109,79,45,banana
100,76,45,banana
117,86,48,banana
114,94,53,banana
110,78,50,banana
94,70,48,banana
80,71,47,banana
